,year,month,day,cycle,trend
0,2013,1,20,395.64,394.41
1,2013,1,21,395.67,394.42
2,2013,1,22,395.69,394.43
3,2013,1,23,395.72,394.43
4,2013,1,24,395.75,394.44
5,2013,1,25,395.78,394.45
6,2013,1,26,395.80,394.46
7,2013,1,27,395.83,394.46
8,2013,1,28,395.86,394.47
9,2013,1,29,395.89,394.48
10,2013,1,30,395.91,394.49
11,2013,1,31,395.94,394.49
12,2013,2,1,395.96,394.50
13,2013,2,2,395.99,394.51
14,2013,2,3,396.01,394.52
15,2013,2,4,396.04,394.52
16,2013,2,5,396.06,394.53
17,2013,2,6,396.08,394.54
18,2013,2,7,396.11,394.54
19,2013,2,8,396.13,394.55
20,2013,2,9,396.15,394.56
21,2013,2,10,396.17,394.57
22,2013,2,11,396.19,394.57
23,2013,2,12,396.21,394.58
24,2013,2,13,396.22,394.59
25,2013,2,14,396.24,394.60
26,2013,2,15,396.26,394.60
27,2013,2,16,396.27,394.61
28,2013,2,17,396.28,394.62
29,2013,2,18,396.30,394.63
30,2013,2,19,396.31,394.63
31,2013,2,20,396.32,394.64
32,2013,2,21,396.33,394.65
33,2013,2,22,396.34,394.66
34,2013,2,23,396.35,394.66
35,2013,2,24,396.36,394.67
36,2013,2,25,396.36,394.68
37,2013,2,26,396.37,394.69
38,2013,2,27,396.38,394.69
39,2013,2,28,396.38,394.70
40,2013,3,1,396.39,394.71
41,2013,3,2,396.39,394.72
42,2013,3,3,396.39,394.72
43,2013,3,4,396.40,394.73
44,2013,3,5,396.40,394.74
45,2013,3,6,396.40,394.74
46,2013,3,7,396.40,394.75
47,2013,3,8,396.41,394.76
48,2013,3,9,396.41,394.77
49,2013,3,10,396.41,394.77
50,2013,3,11,396.41,394.78
51,2013,3,12,396.41,394.79
52,2013,3,13,396.42,394.80
53,2013,3,14,396.42,394.80
54,2013,3,15,396.42,394.81
55,2013,3,16,396.42,394.82
56,2013,3,17,396.43,394.83
57,2013,3,18,396.43,394.83
58,2013,3,19,396.44,394.84
59,2013,3,20,396.44,394.85
60,2013,3,21,396.45,394.85
61,2013,3,22,396.45,394.86
62,2013,3,23,396.46,394.87
63,2013,3,24,396.47,394.88
64,2013,3,25,396.48,394.88
65,2013,3,26,396.49,394.89
66,2013,3,27,396.50,394.90
67,2013,3,28,396.51,394.91
68,2013,3,29,396.53,394.91
69,2013,3,30,396.54,394.92
70,2013,3,31,396.56,394.93
71,2013,4,1,396.57,394.93
72,2013,4,2,396.59,394.94
73,2013,4,3,396.61,394.95
74,2013,4,4,396.63,394.96
75,2013,4,5,396.65,394.96
76,2013,4,6,396.67,394.97
77,2013,4,7,396.69,394.98
78,2013,4,8,396.71,394.99
79,2013,4,9,396.74,394.99
80,2013,4,10,396.76,395.00
81,2013,4,11,396.79,395.01
82,2013,4,12,396.81,395.01
83,2013,4,13,396.84,395.02
84,2013,4,14,396.87,395.03
85,2013,4,15,396.90,395.04
86,2013,4,16,396.93,395.04
87,2013,4,17,396.96,395.05
88,2013,4,18,396.99,395.06
89,2013,4,19,397.02,395.06
90,2013,4,20,397.04,395.07
91,2013,4,21,397.07,395.08
92,2013,4,22,397.10,395.09
93,2013,4,23,397.13,395.09
94,2013,4,24,397.16,395.10
95,2013,4,25,397.19,395.11
96,2013,4,26,397.22,395.11
97,2013,4,27,397.25,395.12
98,2013,4,28,397.28,395.13
99,2013,4,29,397.30,395.14
100,2013,4,30,397.33,395.14
101,2013,5,1,397.35,395.15
102,2013,5,2,397.38,395.16
103,2013,5,3,397.40,395.16
104,2013,5,4,397.42,395.17
105,2013,5,5,397.44,395.18
106,2013,5,6,397.46,395.19
107,2013,5,7,397.48,395.19
108,2013,5,8,397.49,395.20
109,2013,5,9,397.50,395.21
110,2013,5,10,397.52,395.21
111,2013,5,11,397.53,395.22
112,2013,5,12,397.53,395.23
113,2013,5,13,397.54,395.24
114,2013,5,14,397.54,395.24
115,2013,5,15,397.54,395.25
116,2013,5,16,397.54,395.26
117,2013,5,17,397.54,395.26
118,2013,5,18,397.54,395.27
119,2013,5,19,397.53,395.28
120,2013,5,20,397.52,395.28
121,2013,5,21,397.51,395.29
122,2013,5,22,397.49,395.30
123,2013,5,23,397.48,395.31
124,2013,5,24,397.46,395.31
125,2013,5,25,397.44,395.32
