id,date,Unnamed: 0,year,month,day,cycle,trend
0,2013-01-20,0,2013,1,20,395.64,394.41
1,2013-01-21,1,2013,1,21,395.67,394.42
2,2013-01-22,2,2013,1,22,395.69,394.43
3,2013-01-23,3,2013,1,23,395.72,394.43
4,2013-01-24,4,2013,1,24,395.75,394.44
5,2013-01-25,5,2013,1,25,395.78,394.45
6,2013-01-26,6,2013,1,26,395.8,394.46
7,2013-01-27,7,2013,1,27,395.83,394.46
8,2013-01-28,8,2013,1,28,395.86,394.47
9,2013-01-29,9,2013,1,29,395.89,394.48
10,2013-01-30,10,2013,1,30,395.91,394.49
11,2013-01-31,11,2013,1,31,395.94,394.49
12,2013-02-01,12,2013,2,1,395.96,394.5
13,2013-02-02,13,2013,2,2,395.99,394.51
14,2013-02-03,14,2013,2,3,396.01,394.52
15,2013-02-04,15,2013,2,4,396.04,394.52
16,2013-02-05,16,2013,2,5,396.06,394.53
17,2013-02-06,17,2013,2,6,396.08,394.54
18,2013-02-07,18,2013,2,7,396.11,394.54
19,2013-02-08,19,2013,2,8,396.13,394.55
20,2013-02-09,20,2013,2,9,396.15,394.56
21,2013-02-10,21,2013,2,10,396.17,394.57
22,2013-02-11,22,2013,2,11,396.19,394.57
23,2013-02-12,23,2013,2,12,396.21,394.58
24,2013-02-13,24,2013,2,13,396.22,394.59
25,2013-02-14,25,2013,2,14,396.24,394.6
26,2013-02-15,26,2013,2,15,396.26,394.6
27,2013-02-16,27,2013,2,16,396.27,394.61
28,2013-02-17,28,2013,2,17,396.28,394.62
29,2013-02-18,29,2013,2,18,396.3,394.63
30,2013-02-19,30,2013,2,19,396.31,394.63
31,2013-02-20,31,2013,2,20,396.32,394.64
32,2013-02-21,32,2013,2,21,396.33,394.65
33,2013-02-22,33,2013,2,22,396.34,394.66
34,2013-02-23,34,2013,2,23,396.35,394.66
35,2013-02-24,35,2013,2,24,396.36,394.67
36,2013-02-25,36,2013,2,25,396.36,394.68
